T0,T30,T60,T90,T120
-0.011,-28.15,12.72,-6.9,25.55
0.107,3.6,-6.94,6.34,-3.15
0.203,17.19,16.72,-19.17,-27.3
-0.884,4.63,1.81,-5.07,-3.32
-0.196,13.51,-18.53,23.59,-24.31
-0.134,1.173,-1.806,1.512,-0.615
0.175,10.33,-9.46,-0.31,5.59
-1.9,10.15,-17.94,18.59,-2.51
0.699,-0.44,-3.8,-5.49,7.25
-0.176,-0.05,-0.03,0.08,-0.12
1.669,2.8,34.51,29.77,-41.86
0.308,-0.09,0.07,0.35,0.14
-1.418,46.39,-24.44,-12.76,-26.94
-0.074,-0.23,0.25,-0.07,-0.02
-0.539,19.48,-24.19,-15.96,9.01
0.0,-0.003,0.019,-0.016,-0.01
-2.443,1.94,0.28,-6.64,5.95
-0.142,0.34,-0.79,1.09,-0.58
1.072,-5.88,1.97,-2.05,3.42
-0.063,-0.09,0.81,1.01,0.64
2.052,21.65,-31.37,29.63,-2.56
2.544,-10.08,15.34,-18.36,7.07
3.275,0.27,0.59,-3.19,2.75
0.798,0.3,-0.23,-4.44,0.06
-0.164,-5.344,0.21,-5.09,7.88
3.591,-15.29,38.44,-29.14,-5.69
1.549,-0.62,-1.73,5.52,-7.82
0.536,-0.05,1.08,0.28,-0.62
0.024,12.89,-35.62,30.83,-5.57
-0.505,2.12,-3.57,3.77,1.18
0.064,19.53,-19.85,-6.61,18.54
-0.95,0.14,0.42,-1.43,-2.99
0.072,-3.27,6.61,-9.94,5.27
-0.051,0.65,-2.29,2.76,0.1
0.117,-0.11,1.39,-0.81,2.12
0.25,-58.27,40.42,-54.86,25.38
-0.702,-12.13,9.98,-0.43,2.32
0.003,0.05,-0.73,0.84,-0.33
0.001,-15.5,-7.0,47.96,-34.13
-0.349,-4.944,21.29,-3.07,0.38
-0.686,-0.75,4.511,0.34,0.17
0.896,0.08,-1.4,4.997,-5.467
0.144,1.27,4.26,-4.46,-2.12
0.782,-3.23,-19.26,8.8,-5.44
0.499,-23.404,26.67,-32.78,7.139
0.192,-10.73,38.6,-46.85,14.15
0.106,-0.04,-0.12,0.03,-0.16
